Xstreams,Threads,Time(s),Time(nanos),Status
1,1,19.09333333333333333333,19094983251.66666666666666666666,SUCCESSFUL
1,2,18.84333333333333333333,18845943624.00000000000000000000,SUCCESSFUL
1,3,19.09333333333333333333,19096429921.33333333333333333333,SUCCESSFUL
1,4,19.01000000000000000000,19011486156.33333333333333333333,SUCCESSFUL
1,5,18.93666666666666666666,18936317868.00000000000000000000,SUCCESSFUL
1,6,18.94000000000000000000,18942752606.66666666666666666666,SUCCESSFUL
1,7,18.94333333333333333333,18945297368.66666666666666666666,SUCCESSFUL
1,8,19.04000000000000000000,19042943809.00000000000000000000,SUCCESSFUL
1,16,18.95000000000000000000,18951617167.00000000000000000000,SUCCESSFUL
1,32,19.01333333333333333333,19015778638.33333333333333333333,SUCCESSFUL
1,64,18.89333333333333333333,18892454191.66666666666666666666,SUCCESSFUL
1,128,18.91333333333333333333,18913906647.33333333333333333333,SUCCESSFUL
1,256,19.04000000000000000000,19039778005.66666666666666666666,SUCCESSFUL
2,1,37.80000000000000000000,18901391836.33333333333333333333,SUCCESSFUL
2,2,19.43333333333333333333,9717844729.66666666666666666666,SUCCESSFUL
2,3,25.73000000000000000000,12867227958.66666666666666666666,SUCCESSFUL
2,4,19.55333333333333333333,9777618682.33333333333333333333,SUCCESSFUL
2,5,23.22333333333333333333,11612353683.00000000000000000000,SUCCESSFUL
2,6,19.50333333333333333333,9752394715.33333333333333333333,SUCCESSFUL
2,7,22.16666666666666666666,11085543721.66666666666666666666,SUCCESSFUL
2,8,19.77666666666666666666,9888962692.66666666666666666666,SUCCESSFUL
2,16,20.27000000000000000000,10135820346.33333333333333333333,SUCCESSFUL
2,32,20.97000000000000000000,10486003475.33333333333333333333,SUCCESSFUL
2,64,22.65666666666666666666,11328755119.33333333333333333333,SUCCESSFUL
2,128,25.79000000000000000000,12896178166.66666666666666666666,SUCCESSFUL
2,256,25.86666666666666666666,12934756468.66666666666666666666,SUCCESSFUL
3,1,56.96333333333333333333,18988665436.66666666666666666666,SUCCESSFUL
3,2,29.48333333333333333333,9827936538.00000000000000000000,SUCCESSFUL
3,3,20.03666666666666666666,6677958800.33333333333333333333,SUCCESSFUL
3,4,29.38000000000000000000,9795014367.33333333333333333333,SUCCESSFUL
3,5,23.80000000000000000000,7934463993.66666666666666666666,SUCCESSFUL
3,6,20.40000000000000000000,6801045395.33333333333333333333,SUCCESSFUL
3,7,25.68666666666666666666,8562605608.00000000000000000000,SUCCESSFUL
3,8,22.80333333333333333333,7601345208.33333333333333333333,SUCCESSFUL
3,16,23.54000000000000000000,7847139304.66666666666666666666,SUCCESSFUL
3,32,23.44333333333333333333,7814337660.33333333333333333333,SUCCESSFUL
3,64,26.50000000000000000000,8833479943.33333333333333333333,SUCCESSFUL
3,128,32.39000000000000000000,10797658355.66666666666666666666,SUCCESSFUL
3,256,32.56333333333333333333,10854548362.33333333333333333333,SUCCESSFUL
4,1,76.16666666666666666666,19042661907.33333333333333333333,SUCCESSFUL
4,2,39.17333333333333333333,9793511322.00000000000000000000,SUCCESSFUL
4,3,26.75000000000000000000,6688078475.66666666666666666666,SUCCESSFUL
4,4,20.73666666666666666666,5185542923.00000000000000000000,SUCCESSFUL
4,5,31.71666666666666666666,7929681233.66666666666666666666,SUCCESSFUL
4,6,27.32666666666666666666,6832846231.00000000000000000000,SUCCESSFUL
4,7,23.73666666666666666666,5935242585.33333333333333333333,SUCCESSFUL
4,8,21.45000000000000000000,5363185131.66666666666666666666,SUCCESSFUL
4,16,22.74000000000000000000,5685055053.66666666666666666666,SUCCESSFUL
4,32,25.08666666666666666666,6271992872.00000000000000000000,SUCCESSFUL
4,64,29.83666666666666666666,7459678391.66666666666666666666,SUCCESSFUL
4,128,39.17333333333333333333,9794225533.33333333333333333333,SUCCESSFUL
4,256,39.43666666666666666666,9859641997.00000000000000000000,SUCCESSFUL
8,1,158.36000000000000000000,19983237589.00000000000000000000,SUCCESSFUL
8,2,80.54333333333333333333,10219052495.33333333333333333333,SUCCESSFUL
8,3,57.59000000000000000000,7314805743.66666666666666666666,SUCCESSFUL
8,4,43.06333333333333333333,5461698593.00000000000000000000,SUCCESSFUL
8,5,39.95000000000000000000,5043202739.66666666666666666666,SUCCESSFUL
8,6,35.79000000000000000000,4532450687.00000000000000000000,SUCCESSFUL
8,7,31.19666666666666666666,3948476819.33333333333333333333,SUCCESSFUL
8,8,28.41666666666666666666,3595541874.00000000000000000000,SUCCESSFUL
8,16,31.38666666666666666666,4034171039.33333333333333333333,SUCCESSFUL
8,32,36.85000000000000000000,4698200433.33333333333333333333,SUCCESSFUL
8,64,48.27666666666666666666,6103875341.00000000000000000000,SUCCESSFUL
8,128,69.96333333333333333333,8854872356.00000000000000000000,SUCCESSFUL
8,256,70.24000000000000000000,8872181598.00000000000000000000,SUCCESSFUL
